State,Pollutant,Parameter_Code,Average_Concentration,Max_Concentration,Total_Measurements,Monitoring_Sites,Units
Alabama,SO2,42401,0.821733,109.5,40192,5,ppb
Alaska,SO2,42401,1.470907,12.6,16822,2,ppb
Arizona,SO2,42401,0.515752,122.0,60093,7,ppb
Arkansas,SO2,42401,0.459835,9.6,8729,1,ppb
California,SO2,42401,0.339344,69.0,120644,17,ppb
Colorado,SO2,42401,0.534224,6.8,23726,3,ppb
Connecticut,SO2,42401,0.140177,10.9,24666,3,ppb
Delaware,SO2,42401,0.171404,19.7,42160,5,ppb
District Of Columbia,SO2,42401,0.645434,3.3,8104,1,ppb
Florida,SO2,42401,0.863502,151.9,146974,18,ppb
Georgia,SO2,42401,1.064761,89.7,50169,6,ppb
Hawaii,SO2,42401,1.16646,272.8,113893,14,ppb
Idaho,SO2,42401,1.768912,78.5,25180,3,ppb
Illinois,SO2,42401,0.657148,152.5,118170,14,ppb
Indiana,SO2,42401,0.686575,64.3,81198,10,ppb
Iowa,SO2,42401,0.419865,23.9,49600,5,ppb
Kansas,SO2,42401,0.36941,20.5,33187,4,ppb
Kentucky,SO2,42401,0.980793,127.7,81630,11,ppb
Louisiana,SO2,42401,0.664658,234.0,59280,6,ppb
Maine,SO2,42401,0.036293,42.8,17042,2,ppb
Maryland,SO2,42401,0.190019,7.5,32934,4,ppb
Massachusetts,SO2,42401,0.359504,3.9,49733,6,ppb
Michigan,SO2,42401,0.917835,77.7,74734,9,ppb
Minnesota,SO2,42401,0.646669,268.0,56356,7,ppb
Mississippi,SO2,42401,0.536652,8.5,16575,2,ppb
Missouri,SO2,42401,1.005254,331.3,152449,13,ppb
Montana,SO2,42401,0.980594,30.4,35484,5,ppb
Nebraska,SO2,42401,0.540234,63.3,17172,2,ppb
Nevada,SO2,42401,0.508564,14.2,17025,2,ppb
New Hampshire,SO2,42401,0.53458,49.7,33485,4,ppb
New Jersey,SO2,42401,0.429064,7.1,58853,8,ppb
New Mexico,SO2,42401,0.520041,34.6,23901,3,ppb
New York,SO2,42401,0.620197,91.9,101797,8,ppb
North Carolina,SO2,42401,0.072313,13.5,57511,7,ppb
North Dakota,SO2,42401,1.178948,28.9,94943,6,ppb
Ohio,SO2,42401,0.618828,152.0,209612,21,ppb
Oklahoma,SO2,42401,0.199753,64.0,59147,7,ppb
Oregon,SO2,42401,0.329067,2.2,8501,1,ppb
Pennsylvania,SO2,42401,0.719239,178.3,155468,14,ppb
Puerto Rico,SO2,42401,0.438997,59.1,20004,2,ppb
Rhode Island,SO2,42401,0.190612,2.0,2354,1,ppb
South Carolina,SO2,42401,0.072093,6.5,34594,5,ppb
South Dakota,SO2,42401,0.243385,10.0,17006,2,ppb
Tennessee,SO2,42401,0.938921,62.0,57223,7,ppb
Texas,SO2,42401,1.051708,438.0,244114,30,ppb
Utah,SO2,42401,0.529463,18.5,34572,4,ppb
