date,latitude,longitude,parameter,value,units,source
2025-09-14,81.30357298074371,-131.30978454984287,aod,0.30254483477293714,dimensionless,Sample Data
2025-09-26,43.437456464019334,-102.4094794669567,aod,0.011967753721736136,dimensionless,Sample Data
2025-09-27,55.08362588074066,-67.39710104925842,aod,0.2104727692155106,dimensionless,Sample Data
2025-10-03,64.14990792001186,-172.66649472647697,aod,0.0477375250497894,dimensionless,Sample Data
2025-09-15,23.755338239007536,-156.3627542630769,aod,0.1891712844793494,dimensionless,Sample Data
2025-09-30,11.729681878106181,-179.08138032143674,aod,0.18927417477995975,dimensionless,Sample Data
2025-09-19,31.91084864014136,-161.86579811523455,aod,0.05299408001000488,dimensionless,Sample Data
2025-09-15,56.378950699981544,-168.2211635107333,aod,0.14440583100662555,dimensionless,Sample Data
2025-09-22,13.48378095399983,-102.98610604793448,aod,0.22807916067752024,dimensionless,Sample Data
2025-09-28,10.99487208698999,-121.4350972439594,aod,0.6741260684922346,dimensionless,Sample Data
2025-09-24,32.8460326880028,-74.90834474486006,aod,0.05250525017907556,dimensionless,Sample Data
2025-09-15,61.24476391190937,-148.66668941661848,aod,0.13670944562683005,dimensionless,Sample Data
2025-09-07,78.19903015590866,-175.5294922550216,aod,0.040236319982958964,dimensionless,Sample Data
2025-09-25,41.88669058684336,-81.80301665870518,aod,0.15824475959635953,dimensionless,Sample Data
2025-09-29,82.7188470823419,-155.96892078168148,aod,0.1194780140814159,dimensionless,Sample Data
2025-10-04,79.49941493453457,-128.63046931976413,aod,0.509887075853881,dimensionless,Sample Data
2025-09-28,24.698714681435888,-168.49597473325048,aod,0.6497228540480693,dimensionless,Sample Data
2025-09-18,66.04900826030357,-70.21059967184031,aod,0.3529115730481868,dimensionless,Sample Data
2025-10-01,31.07008822655356,-133.6220675298334,aod,0.06459255135878841,dimensionless,Sample Data
2025-09-28,22.395020429725186,-141.4844442584693,aod,0.866829267917464,dimensionless,Sample Data
2025-09-27,24.90367611506293,-79.60817999143454,aod,0.0028359767514229885,dimensionless,Sample Data
2025-09-06,63.350646456148745,-154.15048746845534,aod,0.2950429052087027,dimensionless,Sample Data
2025-09-12,36.884929640820445,-170.37419527456825,aod,0.49292594592383693,dimensionless,Sample Data
2025-09-04,43.708800560365255,-69.4949848873261,aod,0.013133613160956579,dimensionless,Sample Data
2025-09-06,34.38874915200603,-139.5722981769639,aod,0.1789536950857159,dimensionless,Sample Data
2025-09-06,52.09325693857759,-144.28616691129167,aod,0.02547447872310038,dimensionless,Sample Data
2025-09-29,67.05887864626732,-87.27817766101064,aod,0.05383355029238638,dimensionless,Sample Data
2025-09-18,13.03251921538235,-146.71111804102787,aod,0.11156283878168548,dimensionless,Sample Data
2025-10-04,18.091857024497834,-176.69551352326764,aod,0.45221876818847345,dimensionless,Sample Data
2025-09-07,52.245667898228774,-118.20187098632547,aod,0.4762531059691951,dimensionless,Sample Data
2025-09-14,40.77871922767223,-147.59201021064627,aod,0.04539548442646495,dimensionless,Sample Data
2025-09-22,54.9149099866402,-57.42903582746247,aod,0.035161671700012574,dimensionless,Sample Data
2025-09-28,70.60902846733127,-59.1393051954655,aod,0.022296791774294417,dimensionless,Sample Data
2025-09-23,26.38303279126252,-120.65050583722167,aod,0.4461626810471122,dimensionless,Sample Data
2025-10-01,70.55801163730469,-109.88550855096541,aod,0.0881038282682633,dimensionless,Sample Data
2025-09-30,30.409918703847648,-62.11230259905197,aod,0.11141153854972288,dimensionless,Sample Data
2025-09-10,74.55479374422576,-73.6580804300759,aod,0.03598229742358706,dimensionless,Sample Data
2025-09-04,46.36224785192374,-110.56837548119255,aod,0.025536078309129365,dimensionless,Sample Data
2025-09-25,80.71822779343894,-136.11002771752837,aod,0.04937565583013938,dimensionless,Sample Data
2025-10-03,40.28771282935306,-107.44673973774565,aod,0.71355962765834,dimensionless,Sample Data
2025-09-05,28.883672186902313,-54.881851657525544,aod,0.2491469577694311,dimensionless,Sample Data
2025-09-30,84.83053637867064,-160.748699106058,aod,0.18809841419651863,dimensionless,Sample Data
2025-09-08,13.860906343749201,-114.651726980248,aod,0.08464576497532754,dimensionless,Sample Data
2025-09-24,61.05290886660751,-97.5343251888227,aod,0.13445442189472726,dimensionless,Sample Data
2025-09-07,28.15414536336253,-51.8654409656219,aod,0.016861913596482557,dimensionless,Sample Data
2025-09-09,28.16199537080694,-131.94492071201742,aod,0.0917045598528608,dimensionless,Sample Data
2025-09-14,57.5147283070671,-97.80024202283467,aod,0.3390338834557966,dimensionless,Sample Data
2025-09-30,21.30381579740721,-76.21513375200836,aod,0.04128642132151131,dimensionless,Sample Data
2025-09-30,54.31697073911813,-174.6992315978807,aod,0.04975408848004144,dimensionless,Sample Data
2025-09-23,70.71257846047865,-87.55056078305769,aod,0.2072248683095384,dimensionless,Sample Data
2025-09-10,61.820330357684945,-157.33236422935113,aod,0.5520687635608614,dimensionless,Sample Data
2025-09-28,35.57997632876939,-162.12227726102088,aod,0.04690957197243977,dimensionless,Sample Data
2025-09-10,62.18382995088116,-109.61176340241644,aod,0.21575254780878292,dimensionless,Sample Data
2025-10-01,51.640060869959676,-73.76111397384194,aod,0.060445245509656,dimensionless,Sample Data
2025-09-08,82.40645134665952,-50.48701903146983,aod,0.4613548855296854,dimensionless,Sample Data
2025-09-06,35.42723432865255,-97.69681055447516,aod,0.24103325656280916,dimensionless,Sample Data
2025-09-25,74.22432189085693,-69.93405150902024,aod,0.30271243838618067,dimensionless,Sample Data
2025-09-11,16.31049737462866,-96.5358859999426,aod,0.3077405862334095,dimensionless,Sample Data
2025-09-19,53.5514966077341,-93.03152688715028,aod,0.021399380287189865,dimensionless,Sample Data
2025-09-17,10.379618788466402,-93.74477001595274,aod,0.15913956922778635,dimensionless,Sample Data
2025-09-12,58.89709446269504,-90.05362429994987,aod,0.0386988080833216,dimensionless,Sample Data
2025-09-19,47.04202863875759,-177.65020272998228,aod,0.27447151033315814,dimensionless,Sample Data
2025-09-20,73.69175578706334,-95.5477231238621,aod,0.07365143534422658,dimensionless,Sample Data
2025-09-25,48.161055762907,-109.46977002786309,aod,0.061632029571766236,dimensionless,Sample Data
2025-09-16,82.97579160643342,-148.28134636071914,aod,0.13339538685507607,dimensionless,Sample Data
2025-09-24,42.57957741328215,-62.207157596587976,aod,0.1396870648777541,dimensionless,Sample Data
2025-09-08,46.93882703641479,-105.00249499857331,aod,0.05232108023821955,dimensionless,Sample Data
2025-09-20,52.90031494068873,-115.1048606149822,aod,0.008916597421097265,dimensionless,Sample Data
2025-09-17,45.24583854932072,-50.70843359634566,aod,0.4927019769267683,dimensionless,Sample Data
2025-09-27,11.159246239665057,-131.87936896679224,aod,0.08031961036469754,dimensionless,Sample Data
2025-10-01,52.92193518781287,-108.14055431138631,aod,0.3834774034358838,dimensionless,Sample Data
2025-09-26,38.882329645144395,-141.72164403095385,aod,0.06252473742476243,dimensionless,Sample Data
2025-09-13,37.9515150320537,-116.91361634407896,aod,0.5502586941614084,dimensionless,Sample Data
2025-09-27,52.75458775670237,-89.51612643225351,aod,0.04687091149481148,dimensionless,Sample Data
2025-10-04,36.89850859721229,-92.75134281287342,aod,0.14609906499630074,dimensionless,Sample Data
2025-09-04,65.55764633156534,-65.94150064936579,aod,0.029380380498430406,dimensionless,Sample Data
2025-09-13,51.46149826809308,-87.84157040168458,aod,0.33147490145194247,dimensionless,Sample Data
2025-09-16,75.03042389350777,-74.68525869170651,aod,0.01702318335293991,dimensionless,Sample Data
2025-09-23,57.09208112114771,-179.32596783938172,aod,0.20994381497756007,dimensionless,Sample Data
2025-09-15,69.68445020770758,-88.74430595649856,aod,0.4353970248877295,dimensionless,Sample Data
2025-09-26,53.4148671630669,-176.4098196564184,aod,0.22296427091014445,dimensionless,Sample Data
2025-10-03,21.628121254580815,-137.34015322828486,aod,0.0675261320629045,dimensionless,Sample Data
2025-09-23,12.287518745428708,-103.1916761260286,aod,0.007921782459884145,dimensionless,Sample Data
2025-09-08,50.28118203974916,-140.57548309248102,aod,0.14773071765580312,dimensionless,Sample Data
2025-09-08,26.18657706226324,-79.9008380971806,aod,0.12222688108316296,dimensionless,Sample Data
2025-10-03,24.57850254961548,-70.53700024844242,aod,0.15558208853894845,dimensionless,Sample Data
2025-09-16,64.45685002919961,-97.13411280523314,aod,0.6982476168694093,dimensionless,Sample Data
2025-09-27,13.080063757590684,-87.10263645660623,aod,0.06317029308722746,dimensionless,Sample Data
2025-09-08,15.884228600669946,-122.93371530826731,aod,0.04074998445363794,dimensionless,Sample Data
2025-09-15,42.12358562050808,-169.4865143397643,aod,0.10517192889302839,dimensionless,Sample Data
2025-09-05,21.732778200331452,-157.47173839079005,aod,0.054831418850696347,dimensionless,Sample Data
2025-09-16,23.71494978304805,-167.79647228943207,aod,0.06568245227779919,dimensionless,Sample Data
2025-10-04,65.34226875218263,-55.86751351378477,aod,0.11442424574334023,dimensionless,Sample Data
2025-09-29,13.57870957687366,-85.09488884696358,aod,0.08800282586462249,dimensionless,Sample Data
