date,latitude,longitude,parameter,value,units,source
2025-09-14,81.30357298074371,-131.30978454984287,no2,6830650.146714468,molecules/cm²,Sample Data
2025-09-14,17.498118686350217,-122.04174212903315,no2,10683649.660512887,molecules/cm²,Sample Data
2025-09-27,55.08362588074066,-67.39710104925842,no2,4234139.178520841,molecules/cm²,Sample Data
2025-09-05,80.39145317618126,-86.14015960531279,no2,5850761.665246916,molecules/cm²,Sample Data
2025-09-15,23.755338239007536,-156.3627542630769,no2,5449916.869966783,molecules/cm²,Sample Data
2025-10-01,13.499924741021157,-128.0180736770168,no2,4351814.938095998,molecules/cm²,Sample Data
2025-09-18,44.205248816277695,-132.37296037182008,no2,2576223.5735707604,molecules/cm²,Sample Data
2025-09-08,45.0072169935985,-52.17998484511753,no2,11335959.402126536,molecules/cm²,Sample Data
2025-09-10,22.789309276546867,-101.01916925281301,no2,1956446.1412356773,molecules/cm²,Sample Data
2025-10-01,27.317036921661174,-177.92438721137216,no2,9432878.014637582,molecules/cm²,Sample Data
2025-10-02,19.15286761335841,-122.78017581385183,no2,4483499.910123712,molecules/cm²,Sample Data
2025-09-07,23.667706584104675,-129.1621210154787,no2,6503053.000115057,molecules/cm²,Sample Data
2025-09-13,49.00510158833581,-139.47756010837657,no2,4279159.376522226,molecules/cm²,Sample Data
2025-09-13,43.73156000273242,-70.50297930265019,no2,5572356.760796204,molecules/cm²,Sample Data
2025-09-19,54.84249841083138,-63.672444444405656,no2,7825747.139452981,molecules/cm²,Sample Data
2025-09-24,82.08790182620119,-112.29154619664293,no2,2151570.030486259,molecules/cm²,Sample Data
2025-09-24,30.35117738304219,-129.47195234036735,no2,6786243.796505225,molecules/cm²,Sample Data
2025-10-02,30.69993865169075,-101.08554780073099,no2,5626295.191493743,molecules/cm²,Sample Data
2025-09-10,15.591298275982812,-75.71439250197484,no2,2109922.1602537013,molecules/cm²,Sample Data
2025-09-22,11.055986703631334,-141.84653728665504,no2,2721269.1550168027,molecules/cm²,Sample Data
2025-09-04,64.67553760307405,-88.10854529980978,no2,7642383.810873195,molecules/cm²,Sample Data
2025-09-12,78.62197566578355,-95.35998668474721,no2,5878434.434765549,molecules/cm²,Sample Data
2025-09-19,34.81735186394869,-98.97124351241747,no2,11234170.652964812,molecules/cm²,Sample Data
2025-09-25,54.347334078079534,-93.43009363972543,no2,3072649.6722106785,molecules/cm²,Sample Data
2025-09-08,45.416119387146196,-64.66234346507756,no2,3379095.3359357566,molecules/cm²,Sample Data
2025-09-18,13.03251921538235,-146.71111804102787,no2,7977248.367232574,molecules/cm²,Sample Data
2025-09-16,11.90643450580714,-124.41966761338855,no2,5810891.381791848,molecules/cm²,Sample Data
2025-09-07,52.245667898228774,-118.20187098632547,no2,5092550.656590512,molecules/cm²,Sample Data
2025-09-16,28.69691718616562,-62.0163583896079,no2,2651674.190533064,molecules/cm²,Sample Data
2025-09-22,54.9149099866402,-57.42903582746247,no2,5927828.366282086,molecules/cm²,Sample Data
2025-09-16,79.72732392569299,-159.04123265697942,no2,3972233.1123157963,molecules/cm²,Sample Data
2025-09-23,26.38303279126252,-120.65050583722167,no2,4601611.156713768,molecules/cm²,Sample Data
2025-09-29,50.4506681436738,-63.967330196302896,no2,4575320.955144412,molecules/cm²,Sample Data
2025-09-30,30.409918703847648,-62.11230259905197,no2,3503247.5681966343,molecules/cm²,Sample Data
2025-09-12,71.351107444187,-124.47598747858669,no2,3488029.5040998757,molecules/cm²,Sample Data
2025-09-04,46.36224785192374,-110.56837548119255,no2,4183582.0621087244,molecules/cm²,Sample Data
2025-09-18,35.3211378552721,-164.41750224662124,no2,4233072.558988301,molecules/cm²,Sample Data
2025-10-03,40.28771282935306,-107.44673973774565,no2,4053477.958711438,molecules/cm²,Sample Data
2025-10-03,82.18354712065835,-53.66832924627511,no2,9279920.255049946,molecules/cm²,Sample Data
2025-09-30,84.83053637867064,-160.748699106058,no2,8908295.15358166,molecules/cm²,Sample Data
2025-09-25,47.70092674216461,-100.75663658261341,no2,5178139.253982517,molecules/cm²,Sample Data
2025-09-24,61.05290886660751,-97.5343251888227,no2,4776936.188332486,molecules/cm²,Sample Data
2025-09-26,83.92378405829506,-116.3711411639168,no2,9543887.042633755,molecules/cm²,Sample Data
2025-09-27,64.61622614588947,-149.10711928098806,no2,7849548.061700593,molecules/cm²,Sample Data
2025-09-25,83.75673556711322,-118.860917522015,no2,3470050.103039607,molecules/cm²,Sample Data
2025-09-09,34.05850487288019,-71.41067557339906,no2,5600953.865314872,molecules/cm²,Sample Data
2025-10-01,74.37691036102899,-89.54433511718535,no2,2482230.9353285567,molecules/cm²,Sample Data
2025-09-04,23.077482175374357,-96.12753724677152,no2,5577668.901049218,molecules/cm²,Sample Data
2025-09-11,48.831351289561006,-128.3156372586221,no2,4438680.921479765,molecules/cm²,Sample Data
2025-10-03,79.3520213708922,-165.2484422387234,no2,3461608.118128789,molecules/cm²,Sample Data
2025-09-19,27.141251634797474,-89.54802808513932,no2,6038885.103151648,molecules/cm²,Sample Data
2025-09-19,28.138921817533877,-111.14542481371916,no2,10361124.974175524,molecules/cm²,Sample Data
2025-09-30,51.87200902053232,-54.495484332456826,no2,3989998.357509222,molecules/cm²,Sample Data
2025-09-23,73.49958566787294,-88.95348210353973,no2,3529591.9296715865,molecules/cm²,Sample Data
2025-09-27,68.49066593932179,-64.67876484553474,no2,7470885.982703665,molecules/cm²,Sample Data
2025-09-28,37.92120749213073,-104.51073921326089,no2,9354272.350009318,molecules/cm²,Sample Data
2025-09-17,10.379618788466402,-93.74477001595274,no2,13699737.849912303,molecules/cm²,Sample Data
2025-09-04,26.820198209541985,-95.24503626466193,no2,6830554.8159811795,molecules/cm²,Sample Data
2025-09-19,47.04202863875759,-177.65020272998228,no2,7920688.406020691,molecules/cm²,Sample Data
2025-09-04,59.320966922525756,-69.60095663575687,no2,10162293.991584651,molecules/cm²,Sample Data
2025-09-25,48.161055762907,-109.46977002786309,no2,3454688.2694254424,molecules/cm²,Sample Data
2025-09-25,39.482329350007035,-53.50862788218207,no2,3584375.6387980822,molecules/cm²,Sample Data
2025-09-24,42.57957741328215,-62.207157596587976,no2,21151282.06882827,molecules/cm²,Sample Data
2025-10-02,24.643224084853337,-115.9726998035477,no2,5648399.084387315,molecules/cm²,Sample Data
2025-09-20,52.90031494068873,-115.1048606149822,no2,2209715.8021604633,molecules/cm²,Sample Data
2025-09-08,66.07890804230604,-65.14577710538633,no2,4772747.867247435,molecules/cm²,Sample Data
2025-09-24,42.11381112379858,-59.3185868635957,no2,6376942.968165922,molecules/cm²,Sample Data
2025-09-26,32.92727644653864,-170.20498671920333,no2,5527879.82826866,molecules/cm²,Sample Data
2025-09-21,46.395990570723676,-145.0982686042796,no2,7687103.558813947,molecules/cm²,Sample Data
