date,latitude,longitude,parameter,value,units,source
2025-09-14,81.30357298074371,-131.30978454984287,o3,323.69304168724113,Dobson Units,Sample Data
2025-09-14,17.498118686350217,-122.04174212903315,o3,368.4225061632877,Dobson Units,Sample Data
2025-09-27,55.08362588074066,-67.39710104925842,o3,275.86906017759975,Dobson Units,Sample Data
2025-09-05,80.39145317618126,-86.14015960531279,o3,308.2082409920368,Dobson Units,Sample Data
2025-09-15,23.755338239007536,-156.3627542630769,o3,301.11109133059915,Dobson Units,Sample Data
2025-10-01,13.499924741021157,-128.0180736770168,o3,278.6103543198327,Dobson Units,Sample Data
2025-09-18,44.205248816277695,-132.37296037182008,o3,226.1835153422699,Dobson Units,Sample Data
2025-09-08,45.0072169935985,-52.17998484511753,o3,374.34904790236004,Dobson Units,Sample Data
2025-09-10,22.789309276546867,-101.01916925281301,o3,198.6640192134954,Dobson Units,Sample Data
2025-10-01,27.317036921661174,-177.92438721137216,o3,355.9711805780919,Dobson Units,Sample Data
2025-10-02,19.15286761335841,-122.78017581385183,o3,281.59145293282296,Dobson Units,Sample Data
2025-09-07,23.667706584104675,-129.1621210154787,o3,318.7782316920347,Dobson Units,Sample Data
2025-09-13,49.00510158833581,-139.47756010837657,o3,276.9267140912908,Dobson Units,Sample Data
2025-09-13,43.73156000273242,-70.50297930265019,o3,303.33286392543124,Dobson Units,Sample Data
2025-09-19,54.84249841083138,-63.672444444405656,o3,337.29297709127155,Dobson Units,Sample Data
2025-09-24,82.08790182620119,-112.29154619664293,o3,208.17083803412237,Dobson Units,Sample Data
2025-09-24,30.35117738304219,-129.47195234036735,o3,323.0408150074319,Dobson Units,Sample Data
2025-10-02,30.69993865169075,-101.08554780073099,o3,304.2961735815407,Dobson Units,Sample Data
2025-09-10,15.591298275982812,-75.71439250197484,o3,206.21616138967414,Dobson Units,Sample Data
2025-09-22,11.055986703631334,-141.84653728665504,o3,231.6608930556851,Dobson Units,Sample Data
2025-09-04,64.67553760307405,-88.10854529980978,o3,334.92201296054805,Dobson Units,Sample Data
2025-09-12,78.62197566578355,-95.35998668474721,o3,308.68010318324025,Dobson Units,Sample Data
2025-09-19,34.81735186394869,-98.97124351241747,o3,373.44706427161964,Dobson Units,Sample Data
2025-09-25,54.347334078079534,-93.43009363972543,o3,243.80508327299816,Dobson Units,Sample Data
2025-09-08,45.416119387146196,-64.66234346507756,o3,253.3118579543975,Dobson Units,Sample Data
2025-09-18,13.03251921538235,-146.71111804102787,o3,339.2104093826969,Dobson Units,Sample Data
2025-09-16,11.90643450580714,-124.41966761338855,o3,307.5244539055297,Dobson Units,Sample Data
2025-09-07,52.245667898228774,-118.20187098632547,o3,294.3289374326803,Dobson Units,Sample Data
2025-09-16,28.69691718616562,-62.0163583896079,o3,229.0701768492221,Dobson Units,Sample Data
2025-09-22,54.9149099866402,-57.42903582746247,o3,309.5168492482584,Dobson Units,Sample Data
2025-09-16,79.72732392569299,-159.04123265697942,o3,269.48389913263327,Dobson Units,Sample Data
2025-09-23,26.38303279126252,-120.65050583722167,o3,284.1917051595114,Dobson Units,Sample Data
2025-09-29,50.4506681436738,-63.967330196302896,o3,283.61874083609985,Dobson Units,Sample Data
2025-09-30,30.409918703847648,-62.11230259905197,o3,256.92009728758353,Dobson Units,Sample Data
2025-09-12,71.351107444187,-124.47598747858669,o3,256.4847522719463,Dobson Units,Sample Data
2025-09-04,46.36224785192374,-110.56837548119255,o3,274.6678390184238,Dobson Units,Sample Data
2025-09-18,35.3211378552721,-164.41750224662124,o3,275.8438660624353,Dobson Units,Sample Data
2025-10-03,40.28771282935306,-107.44673973774565,o3,271.5085825800798,Dobson Units,Sample Data
2025-10-03,82.18354712065835,-53.66832924627511,o3,354.3363511519637,Dobson Units,Sample Data
2025-09-30,84.83053637867064,-160.748699106058,o3,350.2493440351316,Dobson Units,Sample Data
2025-09-25,47.70092674216461,-100.75663658261341,o3,295.99563323237555,Dobson Units,Sample Data
2025-09-24,61.05290886660751,-97.5343251888227,o3,287.93099341778935,Dobson Units,Sample Data
2025-09-26,83.92378405829506,-116.3711411639168,o3,357.14114072575103,Dobson Units,Sample Data
2025-09-27,64.61622614588947,-149.10711928098806,o3,337.5966516343387,Dobson Units,Sample Data
2025-09-25,83.75673556711322,-118.860917522015,o3,255.96795907351154,Dobson Units,Sample Data
2025-09-09,34.05850487288019,-71.41067557339906,o3,303.84474742922856,Dobson Units,Sample Data
2025-10-01,74.37691036102899,-89.54433511718535,o3,222.46682844669337,Dobson Units,Sample Data
2025-09-04,23.077482175374357,-96.12753724677152,o3,303.42814874030137,Dobson Units,Sample Data
2025-09-11,48.831351289561006,-128.3156372586221,o3,280.5867800511693,Dobson Units,Sample Data
2025-10-03,79.3520213708922,-165.2484422387234,o3,255.72438130855755,Dobson Units,Sample Data
2025-09-19,27.141251634797474,-89.54802808513932,o3,311.37299673020647,Dobson Units,Sample Data
2025-09-19,28.138921817533877,-111.14542481371916,o3,365.3571377141214,Dobson Units,Sample Data
2025-09-30,51.87200902053232,-54.495484332456826,o3,269.93013772141364,Dobson Units,Sample Data
2025-09-23,73.49958566787294,-88.95348210353973,o3,257.6692821567602,Dobson Units,Sample Data
2025-09-27,68.49066593932179,-64.67876484553474,o3,332.65241555248804,Dobson Units,Sample Data
2025-09-28,37.92120749213073,-104.51073921326089,o3,355.13437327313557,Dobson Units,Sample Data
2025-09-17,10.379618788466402,-93.74477001595274,o3,393.28872555723785,Dobson Units,Sample Data
2025-09-04,26.820198209541985,-95.24503626466193,o3,323.6916460455894,Dobson Units,Sample Data
2025-09-19,47.04202863875759,-177.65020272998228,o3,338.4988679965397,Dobson Units,Sample Data
2025-09-04,59.320966922525756,-69.60095663575687,o3,363.4194761201951,Dobson Units,Sample Data
2025-09-25,48.161055762907,-109.46977002786309,o3,255.52427851872383,Dobson Units,Sample Data
2025-09-25,39.482329350007035,-53.50862788218207,o3,259.2094857517281,Dobson Units,Sample Data
2025-09-24,42.57957741328215,-62.207157596587976,o3,436.7211079530871,Dobson Units,Sample Data
2025-10-02,24.643224084853337,-115.9726998035477,o3,304.68827150759734,Dobson Units,Sample Data
2025-09-20,52.90031494068873,-115.1048606149822,o3,210.8374468917238,Dobson Units,Sample Data
2025-09-08,66.07890804230604,-65.14577710538633,o3,287.8432769796492,Dobson Units,Sample Data
2025-09-24,42.11381112379858,-59.3185868635957,o3,316.8199381893126,Dobson Units,Sample Data
2025-09-26,32.92727644653864,-170.20498671920333,o3,302.5314905457583,Dobson Units,Sample Data
2025-09-21,46.395990570723676,-145.0982686042796,o3,335.5054620181977,Dobson Units,Sample Data
2025-09-27,52.75458775670237,-89.51612643225351,o3,304.6239435775548,Dobson Units,Sample Data
2025-09-26,60.3357637618038,-152.84056671000317,o3,302.9104359223,Dobson Units,Sample Data
2025-09-04,65.55764633156534,-65.94150064936579,o3,242.85148510846884,Dobson Units,Sample Data
2025-09-10,63.1683247682589,-162.23922691253625,o3,345.25609799782796,Dobson Units,Sample Data
2025-09-16,75.03042389350777,-74.68525869170651,o3,269.8047813757736,Dobson Units,Sample Data
2025-09-07,10.388864708049008,-169.39275654796876,o3,328.54452553465836,Dobson Units,Sample Data
2025-09-15,69.68445020770758,-88.74430595649856,o3,356.77828200902997,Dobson Units,Sample Data
2025-09-05,12.071257890527853,-64.7397706364142,o3,308.2511399054669,Dobson Units,Sample Data
2025-10-04,44.91985135993451,-175.32750440642354,o3,257.2035541085316,Dobson Units,Sample Data
2025-09-29,72.92001265520224,-52.360684519630965,o3,276.4034067105283,Dobson Units,Sample Data
2025-09-24,49.168244504110326,-163.48213335525497,o3,354.4475298483683,Dobson Units,Sample Data
2025-09-10,82.39388727930773,-144.69942094343355,o3,419.45179786962314,Dobson Units,Sample Data
2025-09-16,64.45685002919961,-97.13411280523314,o3,392.1706879160267,Dobson Units,Sample Data
2025-09-22,63.5946328134964,-53.960207275159334,o3,266.9106767615806,Dobson Units,Sample Data
2025-09-08,15.884228600669946,-122.93371530826731,o3,342.6216667398112,Dobson Units,Sample Data
2025-10-04,16.065472496289825,-156.03662233692188,o3,261.40904611216223,Dobson Units,Sample Data
2025-09-05,21.732778200331452,-157.47173839079005,o3,383.0650865304077,Dobson Units,Sample Data
2025-09-28,17.040496756096882,-148.82764330953756,o3,236.95580228324775,Dobson Units,Sample Data
2025-10-04,65.34226875218263,-55.86751351378477,o3,345.8930973527388,Dobson Units,Sample Data
2025-09-06,64.7529487421364,-123.36252317187416,o3,263.4629298385173,Dobson Units,Sample Data
2025-09-17,11.07951164723169,-81.48000563963201,o3,236.0040133368435,Dobson Units,Sample Data
2025-10-03,17.061774120142008,-168.06612144425256,o3,322.1909714073114,Dobson Units,Sample Data
2025-09-19,17.337562048825113,-118.35740221864774,o3,338.73170267146685,Dobson Units,Sample Data
2025-10-03,35.972824081705056,-75.10131298339867,o3,200.25192142211753,Dobson Units,Sample Data
2025-09-05,57.63202381507328,-99.93948725321187,o3,234.990357920328,Dobson Units,Sample Data
2025-09-22,11.147840521778857,-146.0838289655772,o3,358.158187607748,Dobson Units,Sample Data
2025-09-27,22.220082031107225,-94.36982788953715,o3,300.51165305097936,Dobson Units,Sample Data
2025-10-01,80.81886978438756,-57.294091407101575,o3,332.3581348393522,Dobson Units,Sample Data
2025-10-01,39.11274446548914,-105.18835687613574,o3,306.30474139120145,Dobson Units,Sample Data
2025-09-14,70.84031325520021,-163.29495407959166,o3,292.41074524822085,Dobson Units,Sample Data
2025-09-15,77.90129814670478,-55.045226702891156,o3,329.41586032422885,Dobson Units,Sample Data
2025-09-17,26.09418397812806,-144.38505344825262,o3,275.67836169738194,Dobson Units,Sample Data
2025-09-29,73.36564832270909,-138.53316806181104,o3,310.379913064286,Dobson Units,Sample Data
2025-09-10,29.552089617692733,-135.7188059696488,o3,317.85077429825236,Dobson Units,Sample Data
2025-09-07,75.81040101452898,-98.23742991861508,o3,265.3545202369673,Dobson Units,Sample Data
2025-09-07,82.56854136401856,-125.66701587697476,o3,327.5868505232537,Dobson Units,Sample Data
2025-09-19,84.2878856500505,-75.11148389525567,o3,264.4936021036258,Dobson Units,Sample Data
2025-09-27,28.75123369120785,-163.40033517507948,o3,309.0246252749774,Dobson Units,Sample Data
2025-09-26,60.98835849251844,-148.98240822725577,o3,353.55207620587544,Dobson Units,Sample Data
2025-09-20,17.734290162694947,-81.90942636899129,o3,283.70134295092555,Dobson Units,Sample Data
2025-09-22,32.32263808819832,-129.34964879150354,o3,462.6992563043803,Dobson Units,Sample Data
2025-09-12,10.812823861022377,-129.4037817645588,o3,279.4354704670093,Dobson Units,Sample Data
2025-09-23,60.757742831822746,-55.61588493356068,o3,349.2011772281545,Dobson Units,Sample Data
