datetime,Latitude,Longitude,State Name,County Name,CO,NO2,O3,SO2,hour,day_of_week,month,day_of_year,is_weekend,location_id
2024-01-01 00:00:00,19.2039,-155.480183,Hawaii,Hawaii,,,,1.3,0,0,1,1,0,8
2024-01-01 00:00:00,19.611914,-155.055037,Hawaii,Hawaii,,,,0.6,0,0,1,1,0,13
2024-01-01 00:00:00,26.053889,-80.256944,Florida,Broward,,,,1.4,0,0,1,1,0,25
2024-01-01 00:00:00,27.8492,-80.4554,Florida,Indian River,,,0.027,,0,0,1,1,0,55
2024-01-01 00:00:00,29.275381,-98.311692,Texas,Bexar,,8.3,,,0,0,1,1,0,88
2024-01-01 00:00:00,30.041238,-90.272826,Louisiana,Jefferson,,45.9,,,0,0,1,1,0,129
2024-01-01 00:00:00,30.356339,-81.635396,Florida,Duval,,,,0.4,0,0,1,1,0,154
2024-01-01 00:00:00,31.797813,-96.1031,Texas,Freestone,,,,0.2,0,0,1,1,0,190
2024-01-01 00:00:00,32.175417,-96.870189,Texas,Ellis,,2.7,,,0,0,1,1,0,205
2024-01-01 00:00:00,32.536273,-93.74894,Louisiana,Bossier,,,,0.3,0,0,1,1,0,233
2024-01-01 00:00:00,32.564968,-96.317687,Texas,Kaufman,,,,0.3,0,0,1,1,0,235
2024-01-01 00:00:00,32.882289,-79.977538,South Carolina,Charleston,,7.0,,,0,0,1,1,0,256
2024-01-01 00:00:00,33.41046,-112.00264,Arizona,Maricopa,1.1,,,,0,0,1,1,0,293
2024-01-01 00:00:00,33.485556,-86.915,Alabama,Jefferson,,,,0.1,0,0,1,1,0,306
2024-01-01 00:00:00,34.06812,-117.52579,California,San Bernardino,,22.5,,,0,0,1,1,0,364
2024-01-01 00:00:00,34.093959,-80.962304,South Carolina,Richland,,,,0.3,0,0,1,1,0,366
2024-01-01 00:00:00,36.149877,-96.011664,Oklahoma,Tulsa,,,,0.0,0,0,1,1,0,537
2024-01-01 00:00:00,37.13678,-107.62863,Colorado,La Plata,,5.2,,,0,0,1,1,0,615
2024-01-01 00:00:00,37.682635,-121.442495,California,San Joaquin,,,0.018,,0,0,1,1,0,657
2024-01-01 00:00:00,37.97768,-87.596836,Indiana,Vanderburgh,0.2,,,,0,0,1,1,0,688
2024-01-01 00:00:00,39.4125,-107.23056,Colorado,Garfield,,,0.015,,0,0,1,1,0,855
2024-01-01 00:00:00,39.521933,-119.7954,Nevada,Washoe,0.626,,,,0,0,1,1,0,875
2024-01-01 00:00:00,39.846856,-88.923323,Illinois,Macon,,,,31.6,0,0,1,1,0,929
2024-01-01 00:00:00,39.991389,-75.080833,Pennsylvania,Philadelphia,,29.7,,,0,0,1,1,0,953
2024-01-01 00:00:00,40.386368,-104.73744,Colorado,Weld,,,0.003,,0,0,1,1,0,1008
2024-01-01 00:00:00,41.920009,-87.672995,Illinois,Cook,,5.7,,,0,0,1,1,0,1208
2024-01-01 00:00:00,43.101281,-105.498931,Wyoming,Converse,0.058,,,,0,0,1,1,0,1320
2024-01-01 00:00:00,43.944519,-71.700788,New Hampshire,Grafton,,,0.029,,0,0,1,1,0,1368
2024-01-01 00:00:00,44.965242,-93.254759,Minnesota,Hennepin,0.3,,,,0,0,1,1,0,1421
2024-01-01 00:00:00,47.568236,-122.308628,Washington,King,,10.8,,,0,0,1,1,0,1475
2024-01-01 01:00:00,18.198712,-66.052237,Puerto Rico,Caguas,0.2,,,,1,0,1,1,0,2
2024-01-01 01:00:00,27.507904,-99.523949,Texas,Webb,0.5,,,,1,0,1,1,0,45
2024-01-01 01:00:00,27.955133,-82.469532,Florida,Hillsborough,,21.2,,,1,0,1,1,0,62
2024-01-01 01:00:00,29.834167,-95.489167,Texas,Harris,,25.1,,,1,0,1,1,0,116
2024-01-01 01:00:00,30.525367,-87.20355,Florida,Escambia,,,,1.4,1,0,1,1,0,171
2024-01-01 01:00:00,33.0752,-94.8474,Texas,Titus,,,,0.0,1,0,1,1,0,269
2024-01-01 01:00:00,33.698643,-84.272614,Georgia,DeKalb,,16.5,,,1,0,1,1,0,328
2024-01-01 01:00:00,34.14435,-117.85036,California,Los Angeles,,0.7,,,1,0,1,1,0,371
2024-01-01 01:00:00,34.38344,-118.5284,California,Los Angeles,0.4,,,,1,0,1,1,0,388
2024-01-01 01:00:00,35.2401,-80.785683,North Carolina,Mecklenburg,0.23,,,,1,0,1,1,0,452
2024-01-01 01:00:00,35.35472,-120.04019,California,San Luis Obispo,,,0.008,,1,0,1,1,0,462
2024-01-01 01:00:00,37.814781,-122.282347,California,Alameda,0.6,,,,1,0,1,1,0,673
2024-01-01 01:00:00,38.102507,-122.237976,California,Solano,,8.1,,0.0,1,0,1,1,0,701
2024-01-01 01:00:00,38.566055,-109.53716,Utah,Grand,,6.3,0.012,,1,0,1,1,0,746
2024-01-01 01:00:00,38.572522,-90.796911,Missouri,Franklin,,,,0.0,1,0,1,1,0,748
2024-01-01 01:00:00,39.8723,-108.2183,Colorado,Rio Blanco,,,0.042,,1,0,1,1,0,935
2024-01-01 01:00:00,40.739264,-73.817694,New York,Queens,0.259,,,,1,0,1,1,0,1062
2024-01-01 01:00:00,42.139996,-87.799227,Illinois,Cook,0.178,,,,1,0,1,1,0,1224
2024-01-01 01:00:00,42.261669,-83.157893,Michigan,Wayne,,,,0.5,1,0,1,1,0,1234
2024-01-01 01:00:00,42.263955,-71.794322,Massachusetts,Worcester,,,,0.2,1,0,1,1,0,1235
2024-01-01 01:00:00,42.3295,-71.0826,Massachusetts,Suffolk,,,,0.4,1,0,1,1,0,1246
2024-01-01 01:00:00,42.62668,-71.362068,Massachusetts,Middlesex,,,0.025,,1,0,1,1,0,1270
2024-01-01 01:00:00,44.2893,-88.25219,Wisconsin,Outagamie,,,,0.1,1,0,1,1,0,1383
2024-01-01 01:00:00,48.848065,-122.688888,Washington,Whatcom,,,,-0.1,1,0,1,1,0,1490
2024-01-01 02:00:00,31.86247,-106.5473,Texas,El Paso,0.3,,,,2,0,1,1,0,191
2024-01-01 02:00:00,33.410648,-96.94459,Texas,Denton,,,0.02,,2,0,1,1,0,294
2024-01-01 02:00:00,33.739963,-81.853635,South Carolina,Edgefield,,,,0.3,2,0,1,1,0,332
2024-01-01 02:00:00,33.99636,-117.4924,California,Riverside,,14.6,,,2,0,1,1,0,354
2024-01-01 02:00:00,34.756189,-92.281296,Arkansas,Pulaski,0.0,,,,2,0,1,1,0,411
2024-01-01 02:00:00,35.16126,-89.87065,Tennessee,Shelby,0.4,,,,2,0,1,1,0,441
2024-01-01 02:00:00,36.214465,-115.091437,Nevada,Clark,,26.0,,,2,0,1,1,0,549
2024-01-01 02:00:00,38.66121,-121.73269,California,Yolo,,,0.022,,2,0,1,1,0,761
2024-01-01 02:00:00,38.89477,-76.953426,District Of Columbia,District of Columbia,0.649,,,,2,0,1,1,0,786
2024-01-01 02:00:00,39.166017,-120.148833,California,Placer,,,0.019,,2,0,1,1,0,830
2024-01-01 02:00:00,39.21487,-84.69086,Ohio,Hamilton,,,,0.0,2,0,1,1,0,834
2024-01-01 02:00:00,39.773913,-75.496513,Delaware,New Castle,,,,0.1,2,0,1,1,0,912
2024-01-01 02:00:00,41.08536,-104.52277,Wyoming,Laramie,,5.3,,,2,0,1,1,0,1101
